category,source,url,latest_evidence,what_we_take,risk,use_decision
technical_engine,6tail/lunar-javascript,https://github.com/6tail/lunar-javascript,"1.5k GitHub stars; 264 forks; 22,946 npm downloads last week; MIT","Primary TypeScript calendar and daily fortune primitive engine","Needs regression tests against known references","MVP primary candidate"
technical_engine,6tail/lunar-python,https://github.com/6tail/lunar-python,"604 GitHub stars; 146 forks; 8,451 PyPI downloads last week; MIT; PyPI 1.4.8 released 2025-11-05","Primary Python backend calendar and BaZi primitive engine","Needs parity check with JS version","MVP primary candidate"
technical_validation,sxtwl,https://github.com/skydancep/sxtwl,"10,276 PyPI downloads last week; 11 GitHub stars; C++ astronomical calendar engine","Independent calendar and solar-term validation","Low GitHub popularity; narrower product-layer coverage","Validation engine"
technical_validation,cnlunar,https://github.com/OPN48/cnlunar,"666 GitHub stars; 168 forks; 3,148 PyPI downloads last week; MIT","Almanac and Huangli cross-check","Need maintenance and formula audit","Validation engine"
advanced_module,iztro,https://github.com/SylarLong/iztro,"3.7k GitHub stars; 595 forks; 9,536 npm downloads last week; MIT; Snyk healthy maintenance","Zi Wei Dou Shu chart benchmark","Interpretation layer still requires Peter approval","Phase 2 benchmark"
watchlist,tyme4ts,https://github.com/6tail/tyme4ts,"7,484 npm downloads last week; MIT; 6tail upgrade path","Potential newer TypeScript calendar stack","Newer package; verify coverage before adoption","Watchlist"
classical_text,Chinese Text Project,https://ctext.org/,"Open-access corpus; site states 30,000+ titles and 5B+ characters","Research and source mapping","Reuse and API rights need legal review","Research reference"
classical_text,Wikisource Zhouyi,https://zh.wikisource.org/zh-hant/%E5%91%A8%E6%98%93,"Public Zhouyi text page","Zhouyi reference layer","License and commentary scope need review","Research reference"
consumer_benchmark,准了,https://apps.apple.com/cn/app/%E5%87%86%E4%BA%86-%E6%98%9F%E5%BA%A7%E5%A1%94%E7%BD%97%E7%B4%AB%E5%BE%AE%E6%83%85%E6%84%9F%E8%BF%90%E5%8A%BF%E8%A7%A3%E6%9E%90/id1356471277,"App Store CN 4.7; 8.9万 ratings","Daily habit, emotional framing, AI question entry, expert/team positioning","Claims must be softened; not a truth source","UX benchmark"
consumer_benchmark,测测,https://play.google.com/store/apps/details?hl=zh&id=com.lingocc.cc5,"Google Play page describes stars, BaZi, AI agents, community, certified experts","Community, AI dialogue, emotional support, self-understanding","Need China iOS and Android ranking snapshots","UX benchmark"
consumer_benchmark,问真八字,https://apps.apple.com/cn/app/%E9%97%AE%E7%9C%9F%E5%85%AB%E5%AD%97%E6%8E%92%E7%9B%98%E5%AE%9D%E7%AE%97%E5%91%BD%E5%8D%A0%E5%8D%9C%E5%91%A8%E6%98%93%E5%B7%A5%E5%85%B7/id1665624645,"App Store CN 4.1; 2203 ratings; reviews mention professional charting and classical references","Professional charting, knowledge links, credibility","May be tool-first, less dialogue-first","Professional benchmark"
consumer_benchmark,文墨天机,https://apps.apple.com/cn/app/%E6%96%87%E5%A2%A8%E5%A4%A9%E6%9C%BA-%E4%B8%93%E4%B8%9A%E7%89%88/id1193514811,"App Store CN 4.9; 1.8万 ratings","Expert-grade chart UI, multi-school settings, maintenance discipline","Zi Wei-focused; not daily emotional product","Professional benchmark"
global_benchmark,CHANI,https://rev.now/best/astrology-apps/,"Rev.now ranks CHANI #1 by estimated revenue in astrology and horoscope niche","Daily ritual, paid content clarity, reflective tone","Western astrology; not Chinese metaphysics","Global UX benchmark"
global_benchmark,Co-Star,https://www.costarastrology.com/,"Recognized global social astrology app","Shareable daily insight and social loop","Western astrology; style may be too edgy","Global UX benchmark"
global_benchmark,The Pattern,https://www.thepattern.com/,"Recognized psychology-style astrology app","Relationship and self-reflection language","Western astrology; abstract language risk","Global UX benchmark"
global_benchmark,Sanctuary,https://shop.sanctuaryworld.co/,"Live astrologer service benchmark","Human expert escalation model","Service marketplace complexity","Global UX benchmark"
rejected_authority,Annual master rankings,,"Search found 易学大师/算命大师/风水大师 yearly ranking pages","Only take candidate names and market language","No auditable methodology; not a truth source","Reject as authority"
benchmark_candidate,DestinyLinker/MingLi-Bench,https://github.com/DestinyLinker/MingLi-Bench,"1.2k GitHub stars; 205 forks; MIT; 160 questions; 32 cases; answer key; chart data","First internal benchmark candidate","Official competition page exists; original dataset rights still need review","Use as internal-only candidate benchmark"
benchmark_method,starnum-bench,https://starnum.com.tw/benchmark/zh-TW/,"Public page states 37 fixed chart cases; six-dimension scoring; CC BY 4.0","Golden test suite and regression-test method","Direct JSON download returned 403; Zi Wei school-specific","Use as methodology reference"
